Training number: 1
Start Time: 2019-08-09 18:05:10.892908
Learning rate: 1e-05
Time: D: 0H: 0M: 0S: 0, Episode: 1, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Test episode: Result= -18.0
Time: D: 0H: 0M: 0S: 2, Episode: 2, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 5, Episode: 3, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 9, Episode: 4, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 12, Episode: 5, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 15, Episode: 6, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 17, Episode: 7, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 20, Episode: 8, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 22, Episode: 9, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 25, Episode: 10, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 28, Episode: 11, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 31, Episode: 12, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 34, Episode: 13, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 37, Episode: 14, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 39, Episode: 15, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 42, Episode: 16, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 45, Episode: 17, Total reward:-21.0, Explore P: 1.0, loss: 1000000
